Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Male,Country,Timestamp,Clicked on Ad
68.95,35,61833.9,256.09,Cloned 5thgeneration orchestration,Wrightburgh,female,Tunisia,27/03/2016 00:53,0
80.23,31,68441.85,193.77,Monitored national standardization,West Jodi,male,Nauru,04/04/2016 01:39,0
69.47,26,59785.94,236.5,Organic bottom-line service-desk,Davidton,female,San Marino,13/03/2016 20:35,0
74.15,29,54806.18,245.89,Triple-buffered reciprocal time-frame,West Terrifurt,male,Italy,10/01/2016 02:31,0
68.37,35,73889.99,225.58,Robust logistical utilization,South Manuel,female,Iceland,03/06/2016 03:36,0
59.99,23,59761.56,226.74,Sharable client-driven software,Jamieberg,male,Norway,19/05/2016 14:30,0
88.91,33,53852.85,208.36,Enhanced dedicated support,Brandonstad,female,Myanmar,28/01/2016 20:59,0
66,48,24593.33,131.76,Reactive local challenge,Port Jefferybury,male,Australia,07/03/2016 01:40,1
74.53,30,68862,221.51,Configurable coherent function,West Colin,male,Grenada,18/04/2016 09:33,0
69.88,20,55642.32,183.82,Mandatory homogeneous architecture,Ramirezton,male,Ghana,11/07/2016 01:42,0
47.64,49,45632.51,122.02,Centralized neutral neural-net,West Brandonton,female,Qatar,16/03/2016 20:19,1
83.07,37,62491.01,230.87,Team-oriented grid-enabled Local Area Network,East Theresashire,male,Burundi,08/05/2016 08:10,0
69.57,48,51636.92,113.12,Centralized content-based focus group,West Katiefurt,male,Egypt,03/06/2016 01:14,1
79.52,24,51739.63,214.23,Synergistic fresh-thinking array,North Tara,female,Bosnia and Herzegovina,20/04/2016 21:49,0
42.95,33,30976,143.56,Grass-roots coherent extranet,West William,female,Barbados,24/03/2016 09:31,1
63.45,23,52182.23,140.64,Persistent demand-driven interface,New Travistown,male,Spain,09/03/2016 03:41,1
55.39,37,23936.86,129.41,Customizable multi-tasking website,West Dylanberg,female,Palestinian Territory,30/01/2016 19:20,1
82.03,41,71511.08,187.53,Intuitive dynamic attitude,Pruittmouth,female,Afghanistan,02/05/2016 07:00,0
54.7,36,31087.54,118.39,Grass-roots solution-oriented conglomeration,Jessicastad,male,British Indian Ocean Territory (Chagos Archipelago),13/02/2016 07:53,1
74.58,40,23821.72,135.51,Advanced 24/7 productivity,Millertown,male,Russian Federation,27/02/2016 04:43,1
77.22,30,64802.33,224.44,Object-based reciprocal knowledgebase,Port Jacqueline,male,Cameroon,05/01/2016 07:52,0
84.59,35,60015.57,226.54,Streamlined non-volatile analyzer,Lake Nicole,male,Cameroon,18/03/2016 13:22,0
41.49,52,32635.7,164.83,Mandatory disintermediate utilization,South John,female,Burundi,20/05/2016 08:49,1
87.29,36,61628.72,209.93,Future-proofed methodical protocol,Pamelamouth,male,Korea,23/03/2016 09:43,0
41.39,41,68962.32,167.22,Exclusive neutral parallelism,Harperborough,female,Tokelau,13/06/2016 17:27,1
78.74,28,64828,204.79,Public-key foreground groupware,Port Danielleberg,male,Monaco,27/05/2016 15:25,0
48.53,28,38067.08,134.14,Ameliorated client-driven forecast,West Jeremyside,male,Tuvalu,08/02/2016 10:46,1
51.95,52,58295.82,129.23,Monitored systematic hierarchy,South Cathyfurt,female,Greece,19/07/2016 08:32,1
70.2,34,32708.94,119.2,Open-architected impactful productivity,Palmerside,female,British Virgin Islands,14/04/2016 05:08,1
76.02,22,46179.97,209.82,Business-focused value-added definition,West Guybury,female,Bouvet Island (Bouvetoya),27/01/2016 12:38,0
67.64,35,51473.28,267.01,Programmable asymmetric data-warehouse,Phelpschester,male,Peru,02/07/2016 20:23,0
86.41,28,45593.93,207.48,Digitized static capability,Lake Melindamouth,male,Aruba,01/03/2016 22:13,0
59.05,57,25583.29,169.23,Digitized global capability,North Richardburgh,male,Maldives,15/07/2016 05:05,1
55.6,23,30227.98,212.58,Multi-layered 4thgeneration knowledge user,Port Cassie,female,Senegal,14/01/2016 14:00,1
57.64,57,45580.92,133.81,Synchronized dedicated service-desk,New Thomas,male,Dominica,15/03/2016 03:12,1
84.37,30,61389.5,201.58,Synchronized systemic hierarchy,Johnstad,female,Luxembourg,12/04/2016 03:26,0
62.26,53,56770.79,125.45,Profound stable product,West Aprilport,male,Montenegro,07/04/2016 15:18,1
65.82,39,76435.3,221.94,Reactive demand-driven capacity,Kellytown,female,Ukraine,09/02/2016 05:28,0
50.43,46,57425.87,119.32,Persevering needs-based open architecture,Charlesport,male,Saint Helena,07/05/2016 17:11,1
