Bankrupt, OperatingGrossMargin, OperatingProfitRate, Cashflowrate, NetValuePerShare(A), PersistentEPSintheLastFourSeasons, TotalAssetTurnover, WorkingCapitaltoTotalAssets, CurrentLiabilitytoAssets, EquitytoLiability
1,0.601457213,0.998969203,0.458143144,0.147949939,0.169140588,0.086956522,0.672775292,0.14730845,0.016468741
1,0.610235086,0.998945978,0.461867257,0.182251064,0.208943935,0.064467766,0.751110917,0.056962827,0.020794306
1,0.601450006,0.998857353,0.458520587,0.17791075,0.180580505,0.014992504,0.829501915,0.098162065,0.016474114
1,0.583541129,0.998699747,0.465705443,0.154186507,0.193722227,0.089955022,0.72575418,0.09871463,0.023982332
1,0.598783494,0.998973132,0.462746282,0.167502423,0.212536636,0.175412294,0.751822452,0.110194846,0.035490201
1,0.590171378,0.998758098,0.465861453,0.155577093,0.174435095,0,0.686728646,0,0.019534478
0,0.619949841,0.998993121,0.461020105,0.158821794,0.161482462,0,0.729416462,0,0.015663075
0,0.601738278,0,0.46702398,0.176983692,0.225205635,0,0.797005214,0,0.034888556
0,0.603612044,0,0.463142179,0.184189457,0.218398412,0,0.813737523,0,0.065826497
0,0.599208694,0,0.470575308,0.177447221,0.217831143,0,0.825695871,0,0.030800865
0,0.614025858,0,0.46481803,0.182925288,0.21896568,0,0.751204343,0,0.036571691
0,0.623711786,0,0.465490719,0.173865408,0.20468942,0.062968516,0.769113889,0,0.04038102
0,0.608130702,0,0.464100048,0.169398677,0.219343859,0.124437781,0.760000222,0.0956719,0.02528172
0,0.600577985,0,0.467198443,0.171547765,0.212914815,0.145427286,0.791909627,0.069166166,0.035464109
0,0.604685856,0.999052975,0.478766681,0.180565505,0.226434717,0.101949025,0.802390919,0.027638023,0.042646425
0,0.621773159,0.999096883,0.472093472,0.174328937,0.223787463,0.148425787,0.791990661,0.053385356,0.038353747
0,0.606523588,0.998996472,0.462196053,0.183852345,0.220194762,0.019490255,0.752032218,0.038761655,0.06294023
0,0.618450828,0.999118837,0.470061985,0.189541107,0.233052851,0.125937031,0.816363502,0.044637378,0.048821928
0,0.598343879,0.998988615,0.46844317,0.175129577,0.220005673,0.229385307,0.766580251,0.087413141,0.025953223
0,0.63625881,0.999041651,0.465163601,0.176478025,0.217452964,0.11844078,0.809073201,0.054771596,0.049622455
0,0.622176739,0.999065454,0.488241363,0,0.219343859,0.053973013,0.789153248,0.012548281,0.039507005
0,0.607446057,0.999029981,0.470644087,0,0.225394724,0.173913043,0.847345862,0.068526104,0.037680086
0,0.618933683,0.999058637,0.470652475,0,0.223220195,0.125937031,0.764144883,0.07763949,0.024914605
0,0.6095072,0.999052397,0.464264446,0,0.21896568,0.082458771,0.734030367,0.148790999,0.018005125
0,0.602956226,0.999024781,0.464603306,0,0.221896568,0.184407796,0.745811316,0.147142955,0.017839201
0,0.611762925,0.998925064,0.466873003,0.161307994,0.203554883,0.04197901,0.752991982,0.044651633,0.024868729
0,0.626544055,0.999099309,0.471058437,0.179217058,0.224260187,0.109445277,0.7469121,0.066073203,0.041464966
0,0.609737817,0.999111788,0.495880828,0.182630315,0.228420157,0.148425787,0.839002275,0.038373351,0.104842365
0,0.60202655,0.998982376,0.473888428,0.177952889,0.220572941,0.103448276,0.819444466,0.049464084,0.0426819
1,0.599115006,0.998972554,0.460246764,0.156209178,0.177838707,0.214392804,0.703730256,0.198285095,0.015348595
1,0.599987028,0.998908888,0.458983585,0.145505878,0.202514891,0.064467766,0.673325141,0.141036558,0.014561571
0,0.618868822,0.999014036,0.46320928,0.158695377,0.21102392,0.103448276,0.697045111,0.144464756,0.016403931
0,0.601168942,0.998999939,0.464459039,0.177025831,0.225394724,0.220389805,0.785427201,0.088027511,0.032085741
0,0.603475115,0.998943552,0.465754091,0.185875016,0.218209322,0.137931034,0.799890751,0.062985232,0.061886603
0,0.599107799,0.998995317,0.463652148,0.174033964,0.218682046,0.389805097,0.826180808,0.107973141,0.030023557
0,0.614278096,0.998973363,0.466757253,0.180186254,0.213576629,0.071964018,0.753131107,0.026824926,0.030431234
0,0.622702835,0.998997397,0.463940683,0.166111837,0.209794838,0.064467766,0.752031074,0.0668864,0.026387357
0,0.607042477,0.999017386,0.463568271,0.167502423,0.2149948,0.103448276,0.784658594,0.066789899,0.024780878
0,0.60088067,0.998975443,0.467552402,0.172179849,0.215372979,0.146926537,0.821157204,0.036910939,0.03993517
0,0.598444774,0.998953142,0.471709318,0.177110109,0.212253002,0.088455772,0.80096655,0.031842533,0.047959942
0,0.625326107,0.999135707,0.469151087,0.174876744,0.221612934,0.122938531,0.773200226,0.062031959,0.031485359
0,0.604411998,0.998970821,0.461857192,0.185074375,0.220667486,0.019490255,0.746585922,0.049789358,0.055857782
0,0.61817697,0.999077471,0.46673209,0.186970629,0.225489269,0.107946027,0.801107925,0.06116038,0.044195081
0,0.600347367,0.999027208,0.466916618,0.178964224,0.228325612,0.230884558,0.751569315,0.104974926,0.026673956
0,0.635718301,0.999062103,0.468025465,0.174413215,0.222842016,0.127436282,0.79592654,0.070218037,0.041905813
0,0.624317156,0.999098154,0.487182842,0.187097046,0.220572941,0.052473763,0.775479414,0.010947135,0.040449897
0,0.608865795,0.999048353,0.468696476,0.185200792,0.222842016,0.191904048,0.855304513,0.067677077,0.038105212
0,0.620944378,0.999101736,0.471281548,0.178753529,0.225772903,0.131934033,0.76454758,0.083577917,0.025829305
0,0.610206258,0.999022817,0.460268572,0.185411487,0.219532949,0.071964018,0.736628546,0.1547353,0.017125137
0,0.60456334,0.99903079,0.463714216,0.172516961,0.218492956,0.16041979,0.741778104,0.148863536,0.01899811
0,0.619402125,0.999045118,0.464326514,0.159538157,0.212442091,0.046476762,0.732740421,0.061828918,0.023491356
0,0.626414333,0.999133049,0.471050049,0.179427753,0.223882008,0.104947526,0.739914837,0.074449813,0.041680209
0,0.609290996,0.999097923,0.468896102,0.178669251,0.221612934,0.136431784,0.820765492,0.054898495,0.074265998
0,0.603590424,0.999001441,0.467102824,0.179385614,0.221896568,0.095952024,0.797277117,0.066617814,0.040601054
1,0.596945762,0.99893997,0.462243024,0.156799124,0.200151272,0.04197901,0.715123509,0.089798443,0.016198909
1,0.597392583,0.998960422,0.461377419,0.148202773,0.206013047,0.137931034,0.662359963,0.201894138,0.014054216
1,0.601860794,0.998824769,0.458263926,0.120011799,0.084239387,0.292353823,0.692375034,0.252297963,0.00917817
1,0.595994465,0.998830778,0.459605949,0.151531752,0.175002364,0.148425787,0.676279736,0.198480138,0.015185546
0,0.618083282,0.999003636,0.462571819,0.156082761,0.215656613,0.11844078,0.72385504,0.112883313,0.016943025
0,0.600736534,0.998996588,0.462898937,0.183388816,0.22095112,0.230884558,0.76716291,0.114493576,0.025912547
0,0.604635408,0.998959959,0.467257157,0.181281868,0.215089345,0.134932534,0.820679032,0.038401773,0.091710054
0,0.597947506,0.998973941,0.46743162,0.168176647,0.218871135,0.4017991,0.846880272,0.076037075,0.030485744
0,0.61047291,0.99898122,0.467738607,0.176098774,0.210551196,0.074962519,0.755503983,0.027309642,0.032276295
0,0.619048992,0.999049393,0.462227926,0.165648308,0.21698024,0.085457271,0.756146613,0.074733074,0.023865991
0,0.605932631,0.998981682,0.460946294,0.171042097,0.210645741,0.095952024,0.756244703,0.089336666,0.022774349
0,0.600736534,0.998974172,0.464433876,0.174160381,0.215751158,0.148425787,0.834827305,0.044979554,0.037747762
